edp,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
0,0.01806172725890347,0.0061711732972144495,0.03779628838624895,0.019425760790155306,0.03782418423110128,0.02488114785718791,0.03178978168544544,0.025688650665677402,0.024659972591079608,0.021637199624030802,0.013772998616584129,0.01841063270721422,0.01154426498487524,0.019212963572172097,0.008753326145607301,0.014939264673437709,0.004855514749797553,0.007508901523652256,0.0006265861706048995,2.850496340567133e-05,0.0025860928032421177,0.001956189147130325,0.002598514136008561,0.003663635739451894,0.0004241757036900453,0.005103857527082605,0.000553513355220358,0.0039146970969542155,0.0003227670324396334,0.0014431780175387177,0.0001982117985155928,0.0005590146141886516,0.00025175448867981176,0.0009017696968401079,2.8719402257691247e-06,0.0010012126517471326
1,0.007891502813578725,0.00483518672610389,0.017646740346841727,0.013597384902663191,0.02087737835076339,0.015241225016708099,0.02451500147489722,0.015049027848692017,0.024297943559306503,0.01278618157335406,0.02459972599259208,0.00928634822078803,0.019303444630664694,0.008310743000978338,0.014366599375761608,0.005909775986283901,0.011622829420622701,0.005770361165671167,0.0013296195151190596,0.0008197225415227481,0.00012816274235339682,0.003337867529477019,0.0009647894272050129,0.003990857875613402,0.0011853500738054825,0.0037812956220702413,0.0002850614005720457,0.002722552760305168,0.0016764823707200495,0.0007023240861279714,0.0017086842594788458,0.0001767346061786219,0.0016185145199310814,9.471719019163652e-05,0.0024421469834675913,3.562138973067074e-05
2,0.0035870656581907423,0.0031206128055269833,0.012065897099847067,0.010143715295590598,0.01596457650003021,0.013951427134613515,0.015400289915341819,0.014871223434785526,0.014520685404700298,0.012740886582769303,0.01254679391809618,0.011330499902470672,0.010402111171038664,0.01115342741027173,0.007617731452419718,0.007058936352218266,0.0048348098563269,0.0047752874076310865,4.7861286669525135e-05,4.9349394665554094e-05,0.0011727950063677571,0.001045683127279652,0.001836731580038318,0.001680158199133131,0.001376511322685034,0.001676596968621884,0.001003157467177183,0.0007418773057987849,0.0012833094853208333,0.0005382025063686636,0.0014091618616377682,0.0003548423170548871,0.0008118745872295494,0.0001792443861443313,5.620278169321251e-05,9.447701644308464e-05
3,0.0032689925626241006,0.00419394590893549,0.00863602272214071,0.009916791474982515,0.010903133760602814,0.011250728341727757,0.011079979001716173,0.00978059005128525,0.009979316099507692,0.008046758926310932,0.009760283712905098,0.00923834427081735,0.0057980274126485255,0.00710346627558821,0.005288572877328119,0.0057146312641660705,0.004089037229748809,0.004236516515565695,0.00018669211788430648,0.0002545404906984896,0.0005150418161349321,0.0005416367256317182,0.0005265687832217826,0.0005706837408950962,0.00037016912678799476,0.0004968736891787984,3.903381409050745e-05,0.00027806805256283876,0.0005820626332459938,0.0003184866446417719,0.00021857335950964868,0.00038190532934757415,0.00011003142819578031,0.0002429912457648644,2.179570372387665e-06,1.0261792617259054e-05
4,0.006988594340929674,0.004690400207538405,0.02277921398674791,0.012805802027827998,0.02620323268143565,0.016934724624573037,0.02082756738920868,0.021247192830132853,0.01453783761345755,0.020316543731258675,0.009030301760501501,0.013132950722943319,0.005795755495631087,0.008870204062949388,0.004909407364017306,0.005630148720866022,0.003796182058587518,0.004667841036727338,0.0013268855989540546,0.0002559497786191303,0.00271710779149507,0.0005925923407968799,0.0027720670521041483,0.0014005983630570973,0.002338492636818873,0.0034015372327991294,0.0014888790193305777,0.0030104640798616837,0.00010249937645672924,0.0009596760338934768,8.549503674794894e-05,0.000426932550984625,4.569590375095599e-05,0.00018089593365107738,3.8040270400970716e-07,1.312879719096182e-05
5,0.0037831088328259222,0.004985324739425459,0.012431233069625151,0.013514713912730531,0.017213390639875287,0.017248662315500967,0.018019276320560912,0.016858649865242246,0.01591322208482839,0.014193215513440265,0.012160453614973777,0.011409552749470118,0.007430617470645972,0.008056764084008293,0.005957537864982349,0.005282173501074399,0.004526846081412135,0.00423719599887443,0.00011059953835850674,0.0002131391345277895,8.25877495966208e-05,0.0008010754535330744,0.00033001917790592174,0.0006143682922786849,0.00038129018147470164,9.479171630876005e-05,0.00048782016528514226,0.0003720408344535188,9.887768507604778e-06,4.62800130608668e-05,0.00018405305567972997,0.0003848824129568418,0.00013707213071327586,0.0001545439283135619,4.695789589353376e-06,9.369934328277842e-06
6,0.003145753177116398,0.004386192078367196,0.00906124815707255,0.008565708517711367,0.010061634548410288,0.008976410512207836,0.006618783047734282,0.009230328235197356,0.004789604152489888,0.011684589541589853,0.006330715220181118,0.014677531877451454,0.008899036943832277,0.011239676149886461,0.008303229777385917,0.008078051356849896,0.004666271463201597,0.004214282145239061,0.00010118520511281264,0.000548647614847623,0.0006196450357169646,0.0008217182250072172,0.0007704587900908104,0.0007001529729147549,0.0005888862356152795,0.0009542892331348968,0.0003419669965014277,0.0009567492502847983,0.00022578867824664145,0.0007651631617335855,0.0006461934580387729,0.0005375673525023477,0.0005849850413146402,0.0004103908696277019,0.0001383704712829235,2.3345218361623055e-05
7,0.004089406118302423,0.0050768370195653865,0.011322294748751353,0.012025732268474702,0.01375781503425508,0.0145394121709438,0.01258101004472783,0.015056734624684428,0.010346024016153619,0.01473118832378797,0.008740685380183808,0.01050389818074359,0.009279758151537853,0.008244686038146475,0.0068038277639834634,0.006147150191511301,0.0050849439777178795,0.0047554250072654285,6.274548995417292e-05,0.00014052256333246292,0.0008765792007388624,0.0014818275064905403,0.0011286037428441314,0.0019086310871638083,0.0010242802997319134,0.0013923158478520727,0.0006371892501523971,0.0009504052784405199,0.00020875509683313047,0.001151722784820766,0.00040566530426846214,0.0006803733778501783,0.00024974693899674626,2.8419359485218984e-05,0.00012116908536266853,3.165759459270246e-05
8,0.0029485824904910154,0.0029676665535612453,0.008342996347403054,0.007540350301454463,0.012233689504966897,0.009920631552388648,0.013744561121607757,0.009971794172142308,0.011523525986414493,0.012906934656160302,0.009060368902115363,0.012648809275696284,0.007852426534101752,0.01127941967242357,0.007600922674788328,0.009595906527823791,0.004957612942814949,0.005959984874802857,5.3686366269171196e-05,1.5634251507020525e-05,0.0004481925852101372,4.114344990561261e-05,0.0010772109478274406,1.1501301367614228e-05,0.001487116925164054,0.00014370220364542328,0.000923532389288054,0.00013106593889733757,0.00033219103489930054,0.0009177060437136691,0.0004880079789069125,0.001177493447109591,0.00014287461735446998,0.00031690953051362997,0.00020671879791480258,0.0004564167603498193
9,0.0078107190154878365,0.003297059938522429,0.024930153534310186,0.00883966306766491,0.029091264337172705,0.010259785483397052,0.026179267132660958,0.009256738214642887,0.020216678204187363,0.008506591160107106,0.012078557709272944,0.009121851596992529,0.008937843198297584,0.007579290233019392,0.006973762847382435,0.006254343621467786,0.0045650828251177595,0.004487737228742434,0.001763022123911251,0.00016724677460935744,0.0037374313117208543,0.00043326634165368936,0.004158008758388857,0.0005097617621097439,0.004348545520160305,0.0007168456933113263,0.0037584371234168417,0.000973133250662106,0.0016610152181277004,0.0012638895926462429,0.0014130045798717004,0.0009772642856378981,0.0007838439150393739,0.0003850653442611918,2.063744724712536e-05,1.0860703418282312e-05
10,0.008188122515249578,0.002692583765682007,0.022324208684076165,0.005911393290576847,0.02463849129020307,0.0068931785167572965,0.020394654514756708,0.00628760405617461,0.015560103444721087,0.004701045321048886,0.010622285822989875,0.005097955735415083,0.007284078047960476,0.004332560734392804,0.005060760334519803,0.0045062411797573915,0.0040009321965764014,0.0035951138816009845,0.0016863617843655638,1.3694211011962116e-05,0.0036527050542416316,6.68366008376991e-05,0.003890633778936888,0.0002149601288462903,0.0017328964987644037,0.0002718240714186565,0.0006976238314421016,0.00011998166455106357,0.0001765064418526756,3.068061661168482e-05,0.0006049622765463352,5.2368436945216226e-05,5.874310256928425e-05,5.574332387757622e-05,4.352873800257424e-06,2.1771486117146113e-06
11,0.004181634461278233,0.006818538913628106,0.010710771380459588,0.02056753053746189,0.0160744925628445,0.024029304732778128,0.02115635569536307,0.02106820910500623,0.018585360873704878,0.015366181114435138,0.011671285167175142,0.009930406494683908,0.006110860074167786,0.006917178119158021,0.005063918415698973,0.005623302520833748,0.004036622948610522,0.003993934687218608,0.0002431787219935784,0.00030626871736891454,0.0012010558877961104,0.002894100339134364,0.002711940869556986,0.003709657720432832,0.005134496317871285,0.002925230407364225,0.003976595308041036,0.0016318811945643264,0.001121127154416316,0.0002166889993227447,0.0005986772254154261,0.00043453099735609433,0.00017252219400929982,0.0002463771748498467,3.1046243999991535e-07,7.445600718170874e-06
12,0.006418190975704748,0.003938349285540084,0.021780069215358428,0.008870130759776,0.027002088953382932,0.010692379543709012,0.026955885460072382,0.013622056847886465,0.022037262793849034,0.015354107299981731,0.017338630058026158,0.013594649895804145,0.013631242508863464,0.00796056553796524,0.006569968145311391,0.005326265648300177,0.004857381585738942,0.004414354140979109,0.00020286262821200414,0.0002923852041505095,0.0010997102762380392,0.0005934208025903235,0.001631421092423925,0.001068192268017569,0.0024649791033429635,0.002472015839250223,0.0023661872243486808,0.002605069951585411,0.0021503381104852758,0.0018338108805467422,0.001927140841381605,0.0006921525675921136,0.0005163934278239184,2.485319585243815e-05,0.00018419243281021756,5.0186226867870434e-05
15,0.004354379281934178,0.005524749210493367,0.013086408600073311,0.018949243740600103,0.016649843995815646,0.022753429270525698,0.01739492759145284,0.01973354848478613,0.015590061334885892,0.015039334732762382,0.012674039392037354,0.009310576556481785,0.009139745738223883,0.005789460746848664,0.005766776610753364,0.0055723037154846835,0.004095095255056748,0.0039006551848235773,2.178338792382438e-05,8.275676793780771e-05,0.000337486294203904,7.565804761691523e-05,0.0002789842618322111,0.00021961340158389522,6.629390208495254e-05,0.00021036140085567868,5.200046071347112e-05,0.00047657141323564163,0.0003022797274825764,0.0002855303114136712,0.00030043940726265177,0.0004566300749586627,0.00016399564259517315,0.00016639659048313978,4.952514052111483e-06,3.491480016202232e-07
16,0.006972232549937352,0.003901948971148001,0.022368090311383586,0.007406609070492519,0.027638186022454433,0.008321203060546779,0.02565416011902643,0.012259490634097347,0.019053370138261645,0.013703141078043019,0.011855538809995994,0.013461346119210047,0.009563621371971882,0.013313927212364728,0.006707470628845993,0.010164317810356566,0.004829576268587397,0.006584160599950293,0.0010446885828132415,0.0002653936372632982,0.003093707801792706,5.254058171624147e-05,0.003461987887257842,0.00037675249237559884,0.002755273690535296,0.0011827756940023613,0.0020135345434028652,0.001105329006950473,0.00030297122880582983,0.0006191523703067906,0.00035021914474071147,0.00035298850379642227,0.00031731644606287093,6.748384001880447e-05,5.3764559102585046e-05,0.00013860750876470344
17,0.005165943064244503,0.007663910748984119,0.01459970822662108,0.017617578832618924,0.01640495995450147,0.01965780242214367,0.014858892002595473,0.017185538625031756,0.012288887899150502,0.012448903031920878,0.008557273058202556,0.007789614235993214,0.005465596887223831,0.006543421761054172,0.005451177829453972,0.006413181947776033,0.004166417901695084,0.00457641810023371,0.0011303152034688462,0.0008804807290772407,0.004671426043864616,0.0014075333276307128,0.005087251855567866,0.002684915846022616,0.003877701274788684,0.0025670781113763773,0.002691839682342111,0.0018121618917376259,0.0013352384481589838,0.0006624496094313631,0.0004236204164655849,0.00022715268907670067,5.956823600355987e-05,0.0002005458193178557,5.634789703020301e-06,1.937219575414834e-05
18,0.004904546941025659,0.004660204909018675,0.015641815193774077,0.012208205821321661,0.016816776353440824,0.015815613162834422,0.013367020434936596,0.014527078862540876,0.010839409451742025,0.011101073499478059,0.008027776003157613,0.009405209434382434,0.004347923144922389,0.005342332889177224,0.004670543995800973,0.005781913178364187,0.004144149726963653,0.0045598492831607175,0.00017606398558136816,0.0006731151235029966,9.76173694692586e-06,0.0023456583597109477,0.00021250967104328674,0.0024871094864903284,0.000376557296299743,0.0008338214298766797,0.00037573585566978224,0.0005371507188213273,0.00029716209967340897,0.0007165031010817446,3.125215136969504e-05,7.428421018271415e-05,4.502571767094466e-05,0.0001361039625805391,2.656906885468172e-06,5.607692004227491e-06
19,0.009956928997858829,0.006657847366621394,0.02619597317235981,0.016865444673776295,0.029936613113134693,0.01848729362617779,0.027799273217787357,0.01619579482839813,0.02232257822286381,0.012347006177787802,0.013479416765277367,0.007108762847723475,0.007327478037460116,0.005842913373233434,0.004478226286494556,0.005439147182744505,0.0038513789811229202,0.00404212499113733,0.0029202231678117203,0.0009789479019811905,0.003356212919534113,0.0024560404030859206,0.0026772166405526787,0.0030321878052047054,0.001887062482048125,0.0023748430924508046,0.0011238745353740432,0.0012377507619370743,0.0005815464322687127,0.0003316044926390246,0.0005137401960978948,0.00020668275788727862,3.2931271919731324e-06,0.0001404717811975343,4.438419264817791e-06,6.142466319596476e-06
